#{"t_start": 1744093429.7673395, "env_id": "None"}
r,l,t
-260.0,2,36.399836
-260.0,2,36.402071
-260.0,2,36.413334
-260.0,2,36.415334
-280.0,3,36.422541
-260.0,2,36.424539
-260.0,2,36.435727
-260.0,2,36.437609
-260.0,2,36.442643
-260.0,2,36.44466
-260.0,2,37.834654
-260.0,2,37.836701
-260.0,2,37.843907
-260.0,2,37.848425
-260.0,2,37.864046
-260.0,2,37.866042
-260.0,2,37.873006
-260.0,2,37.87505
-280.0,3,37.891891
-260.0,2,37.901008
-260.0,2,38.973349
-260.0,2,38.978356
-260.0,2,38.986248
-260.0,2,38.991008
-260.0,2,38.993036
-260.0,2,38.99849
-260.0,2,39.004658
-260.0,2,39.010461
-280.0,3,39.014463
-260.0,2,39.020711
-260.0,2,39.919784
-280.0,3,39.926298
-260.0,2,39.933593
-260.0,2,39.935361
-260.0,2,39.94397
-260.0,2,39.945004
-280.0,3,39.950785
-260.0,2,39.951996
-260.0,2,39.961237
-260.0,2,39.962548
-300.0,4,40.765386
-260.0,2,40.775754
-260.0,2,40.783412
-260.0,2,40.789664
-260.0,2,40.790675
-260.0,2,40.794582
-260.0,2,40.798413
-260.0,2,40.806817
-280.0,3,40.811269
-260.0,2,40.812386
-260.0,2,41.66352
-260.0,2,41.665105
-320.0,5,41.671742
-260.0,2,41.67666
-260.0,2,41.684371
-260.0,2,41.688317
-260.0,2,41.690348
-260.0,2,41.69556
-280.0,3,41.707471
-260.0,2,41.707471
-260.0,2,42.545563
-260.0,2,42.545563
-260.0,2,42.561681
-260.0,2,42.563679
-280.0,3,42.569962
-260.0,2,42.571886
-260.0,2,42.582213
-280.0,3,42.588308
-260.0,2,42.590079
-280.0,3,42.595187
-260.0,2,43.359701
-260.0,2,43.367657
-260.0,2,43.368669
-260.0,2,43.372483
-260.0,2,43.37927
-260.0,2,43.385718
-260.0,2,43.386174
-260.0,2,43.392017
-280.0,3,43.406331
-260.0,2,43.407311
-260.0,2,44.387944
