# reward,episode_length,on_time,off_time
-5.962709045410156250e+01,2.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
1.831800994873046875e+02,1.700000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-1.278963565826416016e+01,3.600000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
-3.235135793685913086e+00,4.000000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.177151679992675781e+01,1.600000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-7.109447479248046875e+01,4.500000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-2.686763954162597656e+01,1.800000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-1.658568954467773438e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-2.412172317504882812e+01,2.300000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
-6.167575073242187500e+01,1.900000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-7.740912628173828125e+01,1.800000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
2.110479125976562500e+02,2.400000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-3.433469772338867188e+01,2.900000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-1.824572372436523438e+01,4.600000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
-3.866528701782226562e+01,4.600000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-2.384233093261718750e+01,6.100000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
-2.384233093261718750e+01,2.100000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-5.946338272094726562e+01,1.700000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-7.109447479248046875e+01,2.100000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
1.572831573486328125e+02,2.200000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-4.311452484130859375e+01,2.900000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-2.263349533081054688e+00,5.200000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-5.029798126220703125e+01,4.800000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-4.322891998291015625e+01,1.600000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-3.359688949584960938e+01,2.200000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-1.589662647247314453e+01,1.800000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-3.674236679077148438e+01,2.500000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.310177612304687500e+01,2.700000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-3.447241973876953125e+01,2.900000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-2.990223312377929688e+01,2.500000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-1.558567905426025391e+01,2.900000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-3.310177612304687500e+01,2.700000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
-9.379457855224609375e+01,2.100000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-2.814349412918090820e+00,3.500000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-3.714939880371093750e+01,4.500000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
-4.311452484130859375e+01,2.500000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-7.113357543945312500e+01,3.900000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-2.947379302978515625e+01,2.700000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-2.068715095520019531e+01,2.200000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
